ax,ay,az,gx,gy,gz
0.660645,0.630371,-0.209961,14.137404,73.587784,-55.038166
0.596191,0.708984,-0.346436,-25.541985,82.549622,-55.114502
0.528320,0.781006,-0.522461,-73.862595,89.709923,-47.511452
0.403809,0.875488,-0.697021,-140.473282,99.374046,-29.129770
0.267822,0.906738,-0.900879,-228.351151,110.763359,-12.763359
0.284424,0.819580,-1.069092,-325.099243,114.473282,6.793893
0.160400,0.729736,-1.089600,-417.770996,103.862595,23.297710
0.026367,0.340820,-0.854004,-456.870239,83.526718,34.931297
0.095703,0.082764,-0.921875,-500.274811,94.580154,43.312977
0.130371,-0.112305,-0.885986,-500.274811,103.801529,43.465649
0.076416,-0.302979,-0.858643,-500.274811,118.015266,44.763359
0.034668,-0.441895,-0.834473,-500.274811,131.022903,46.259541
-0.057373,-0.640869,-0.857666,-500.274811,145.175568,55.648853
-0.122803,-0.662842,-0.799805,-500.274811,171.648849,61.664124
-0.295654,-0.811279,-0.788086,-500.274811,182.656494,67.908394
-0.427734,-0.848633,-0.768066,-500.274811,157.007629,71.328247
-0.527832,-1.030762,-0.791748,-500.274811,148.641220,75.221375
-0.627441,-1.146973,-0.763672,-500.274811,111.328247,76.290077
-0.604736,-1.292480,-0.839111,-500.274811,88.335876,80.000000
-0.653076,-1.345947,-0.932617,-500.274811,81.541985,95.312981
-0.693359,-1.624756,-1.081299,-500.274811,101.190842,121.770996
-0.922607,-1.960938,-1.001709,-500.274811,107.908394,123.954201
-0.977783,-2.127930,-0.942139,-500.274811,77.786263,144.259537
-0.815186,-2.510742,-0.974365,-500.274811,59.465649,169.679382
-0.587891,-2.801758,-1.065430,-500.274811,81.572517,192.320618
-0.459473,-3.028564,-1.010010,-500.274811,102.122139,198.992371
-0.318115,-3.197266,-0.853271,-500.274811,113.893127,194.030533
-0.223389,-3.293213,-0.537354,-500.274811,91.984734,183.694656
-0.269775,-3.680664,-0.354736,-500.274811,73.954201,190.229004
-0.010742,-4.000000,2.494629,-214.793900,77.114502,250.274811
3.364746,-3.110840,3.999878,238.229004,315.053436,165.038162
-0.522217,-4.000000,1.775146,25.557251,85.175575,310.793884
-0.397949,-3.698486,-1.060547,94.580154,-182.320618,-4.167939
-0.592041,-2.339600,-2.135742,101.114502,142.625961,-5.511450
-1.019775,-1.456787,-1.219482,115.374046,176.671753,-23.190840
-0.803223,-1.152588,0.198975,38.473282,34.427483,-39.465649
0.024414,-0.838623,0.213135,-139.633591,-14.732824,115.511452
-0.164551,-1.379150,0.256836,-76.412216,-47.099236,-2.503817
0.176758,-1.171387,0.077881,0.137405,1.770992,-55.236641
-0.134277,-0.947998,-0.155029,32.106869,29.435114,-138.656494
-0.091309,-0.506104,-0.072266,32.778625,5.511450,-96.854965
-0.165039,-0.581787,-0.136230,28.702290,9.038168,-44.167938
-0.257324,-0.669189,-0.230957,44.366413,27.374046,-34.061069
-0.332520,-0.587891,-0.378174,45.297710,27.984734,-2.183206
-0.440430,-0.537842,-0.410889,33.358780,-6.381680,34.183205
-0.245361,-0.666748,-0.503418,26.061069,-9.725191,52.580154
-0.156006,-0.788818,-0.530518,19.221375,-17.419847,66.641220
-0.099609,-0.892090,-0.451660,15.694656,-22.580153,73.221375
-0.002197,-0.966553,-0.409424,12.656488,-29.007633,70.702293
0.073242,-1.026611,-0.381836,10.946565,-26.809160,59.145039
0.094971,-1.076660,-0.343994,13.893129,-25.297710,42.091602
0.053711,-1.097900,-0.342285,10.259542,-28.778625,22.916031
0.007080,-1.143555,-0.368652,-2.183206,-29.160305,-19.587786
0.081543,-1.055908,-0.322266,-4.015267,-25.603054,-33.068703
-0.014404,-1.037109,-0.287109,-9.969465,-34.137405,-38.213741
0.007568,-1.062500,-0.376953,-11.847328,-31.877863,-48.519085
-0.033936,-1.037842,-0.327393,-13.984733,-27.053434,-50.015266
-0.058105,-1.044922,-0.275146,-15.557252,-30.900763,-46.946564
-0.081299,-1.037842,-0.237061,-11.404580,-37.312977,-42.305344
-0.161865,-1.009766,-0.121094,-0.824427,-43.786259,-34.198475
-0.134277,-0.968750,-0.208984,8.503817,-34.244274,-27.496183
-0.023682,-0.873779,-0.217529,17.099237,-19.648855,-11.816793
-0.038086,-0.927002,-0.256348,25.206106,-19.175573,-7.145038
-0.001465,-0.942139,-0.266113,29.725191,-18.351145,-2.290076
-0.008057,-0.968994,-0.239990,30.137405,-18.992367,-4.992366
0.003418,-0.989746,-0.252930,29.679390,-21.099237,-8.534351
-0.007324,-1.013672,-0.285889,24.763359,-20.702290,-15.679389
-0.026611,-1.011963,-0.275146,17.374046,-22.641222,-22.702290
-0.058838,-1.029053,-0.268555,12.625955,-22.091602,-28.167938
-0.054932,-1.012695,-0.255127,8.549619,-24.931297,-32.916031
-0.074219,-1.013184,-0.275879,8.854961,-25.816793,-31.877863
-0.100098,-0.990234,-0.209229,6.488550,-29.862595,-31.465649
-0.104980,-0.996826,-0.200195,7.847328,-31.297710,-26.091602
-0.083984,-0.989746,-0.181152,9.770992,-31.816793,-22.580153
-0.061768,-1.011963,-0.185059,15.496183,-30.732824,-19.633587
-0.061035,-1.004395,-0.158691,21.572519,-28.992367,-15.343512
-0.045166,-1.007080,-0.200928,24.167938,-30.167938,-15.236641
-0.032959,-1.044922,-0.161621,29.877863,-30.687023,-17.526718
-0.036377,-1.090820,-0.145508,32.519085,-34.549618,-22.595419
-0.046143,-1.093750,-0.176514,31.877863,-36.595421,-28.000000
-0.042480,-1.091553,-0.182129,28.229008,-36.809162,-33.786259
-0.066650,-1.148438,-0.178467,32.167938,-36.076336,-38.534351
-0.037354,-1.107422,-0.190430,31.969465,-41.419846,-35.893131
-0.041992,-1.087891,-0.198730,33.145039,-41.099236,-37.038166
-0.054443,-1.093018,-0.170410,31.053434,-47.923664,-38.870228
-0.018555,-1.102539,-0.185059,32.000000,-49.603054,-40.824429
-0.027588,-1.096680,-0.168213,32.167938,-54.091602,-42.992367
-0.028564,-1.125732,-0.144043,30.458015,-56.274811,-45.145039
-0.013428,-1.159180,-0.113281,37.832062,-53.190838,-46.625954
-0.043213,-1.158691,-0.072510,38.717556,-55.648853,-47.648853
-0.041748,-1.172119,-0.071533,45.145039,-53.893131,-47.557251
