ax,ay,az,gx,gy,gz
0.907959,0.186035,0.191895,-63.480915,-13.908397,60.641220
0.958984,0.136230,0.205322,-70.503815,-21.404581,65.129768
1.101318,0.016846,0.198486,-80.793892,-18.870230,71.709923
1.373047,-0.239502,0.288330,-90.625954,-2.244275,71.893127
1.654053,-0.574951,0.515381,-97.099236,6.610687,51.297710
1.905029,-0.941895,0.832031,-86.213737,9.832061,12.778625
1.945312,-1.246338,1.157471,-50.549618,-11.618320,-37.374046
1.953857,-1.387695,1.248291,9.816793,-20.458015,-82.900764
1.656738,-1.260498,1.127686,53.297710,-58.839695,-113.343513
1.553223,-1.042725,0.839111,87.786263,-47.923664,-120.656487
1.432129,-1.048096,0.843018,121.297707,-20.610687,-117.007637
1.323975,-1.317627,1.219238,190.122131,-40.183205,-123.618324
1.489746,-1.294678,0.930664,238.000000,-84.916031,-138.351151
1.891602,-1.323730,0.519775,245.328247,-48.076336,-162.335876
2.001221,-1.481445,0.671387,241.129776,-40.748093,-222.045807
1.739258,-1.460938,0.580322,241.083969,-55.282444,-276.259552
1.430908,-1.212891,0.241943,250.595413,-29.832062,-297.557251
1.254883,-1.095215,0.118652,257.526703,22.946566,-292.687012
1.200439,-1.226074,0.284912,284.595428,60.076336,-284.610687
1.228027,-1.404053,0.324219,322.702301,60.458015,-287.938934
1.378662,-1.569092,0.140625,353.969452,74.534348,-308.610687
1.228516,-1.696777,0.000488,385.358765,59.877861,-343.969452
0.985352,-1.694824,-0.220459,406.396942,15.160305,-387.221375
0.684326,-1.577148,-0.583740,421.328247,-9.587787,-423.801514
0.521484,-1.552002,-0.954346,445.541992,-5.862596,-448.854950
0.285400,-1.489746,-1.171143,453.404572,-10.000000,-472.610687
0.009766,-1.254395,-1.697021,463.312988,12.702291,-469.129761
-0.179443,-0.836182,-2.167725,448.381683,45.480915,-455.557251
-0.158203,-0.380859,-2.705811,412.549622,111.862595,-431.251923
-0.445557,0.062500,-2.860596,368.839691,176.839691,-394.458008
-0.621582,0.249756,-2.847900,353.572510,209.099243,-350.580139
-1.031738,0.509033,-3.038330,305.053436,216.458008,-311.190826
-1.283936,0.662598,-2.937988,283.343506,209.374039,-259.221375
-1.445068,0.833008,-2.946777,222.916031,154.793900,-210.961838
-1.550781,1.042969,-2.949219,159.908401,119.312981,-164.580154
-1.445557,1.153564,-2.833740,107.587784,84.992363,-126.396950
-1.398682,1.222168,-2.707275,58.839695,33.465649,-95.664124
-1.212402,1.248291,-2.609375,3.740458,11.374045,-64.137405
-1.054199,1.177246,-2.359863,-43.282444,-3.419847,-42.015266
-0.966553,1.127197,-2.112061,-81.832062,-22.824427,-25.022902
-0.829590,1.081299,-1.904297,-110.000000,-33.099236,-6.732824
-0.600098,0.944824,-1.648193,-122.381676,-17.557251,9.053435
-0.427490,0.855225,-1.349854,-130.366409,-0.488550,21.664122
-0.278809,0.795898,-1.112061,-121.587784,30.549618,30.534351
-0.301758,0.819824,-0.990234,-111.725189,44.717556,35.740459
-0.313721,0.823242,-0.912842,-101.587784,52.595421,42.839695
-0.332764,0.836426,-0.881836,-101.633591,53.496181,48.442749
-0.382568,0.822510,-0.838623,-105.404579,44.916031,54.183205
-0.438477,0.871826,-0.857910,-112.854965,28.274809,62.213741
-0.515625,0.914795,-0.888184,-126.580154,5.068702,73.389313
-0.608154,0.958984,-0.917725,-149.709930,-29.251909,88.641220
-0.631348,0.997314,-1.008789,-176.137405,-67.526718,107.221375
-0.552979,0.964355,-1.042236,-200.137405,-98.045799,130.396942
-0.444580,0.878418,-1.035645,-209.358780,-100.091606,156.732819
-0.241211,0.740234,-0.943359,-218.366409,-92.229004,182.061066
