ax,ay,az,gx,gy,gz
-0.048828,-0.101074,1.160156,3.419847,5.251908,-11.893129
-0.046387,-0.077148,1.175293,3.770992,4.091603,-11.664123
-0.055420,-0.031738,1.184814,4.412214,0.687023,-10.000000
-0.047607,0.011719,1.171387,2.595420,-2.061069,-7.328244
-0.036133,0.014893,1.157471,1.221374,-3.374046,-4.183206
-0.013184,-0.007324,1.127686,-0.702290,-4.519084,1.053435
-0.013184,-0.062256,1.100830,2.030534,-4.381680,2.687023
-0.000732,-0.072266,1.089111,4.351145,-3.832061,1.404580
0.014648,-0.076172,1.073486,5.938931,-1.893130,0.183206
0.019287,-0.073730,1.083740,5.053435,0.427481,-1.572519
0.005859,-0.059082,1.090576,2.290076,1.740458,-2.961832
0.002197,-0.049072,1.094482,-1.099237,2.473282,-3.572519
-0.011963,-0.044678,1.115234,-5.557252,2.534351,-2.045802
-0.026611,-0.038330,1.132568,-6.961832,1.206107,2.076336
-0.033203,-0.002197,1.146729,-6.564886,-0.854962,5.190840
-0.020752,0.013672,1.158691,-6.244275,-3.236641,11.145039
-0.014404,-0.012939,1.139648,-1.267176,-3.679389,15.145039
0.007568,-0.041504,1.133789,6.015267,-2.305344,17.007633
0.019043,-0.078369,1.112549,6.580153,-2.931298,20.412214
0.019043,-0.096436,1.097412,8.732824,-2.213740,19.664122
0.031738,-0.100098,1.093506,8.992367,-0.122137,18.305344
0.054932,-0.102539,1.092285,8.015267,1.847328,19.450382
0.091797,-0.083252,1.093750,9.969465,2.854962,23.648855
0.096924,-0.067627,1.100342,7.770992,6.137404,24.458015
0.101807,-0.077393,1.140381,1.572519,9.343512,25.969465
0.104980,-0.119629,1.170898,-4.137404,12.198473,26.641222
0.104492,-0.157471,1.205811,-13.022901,13.450381,24.809160
0.102539,-0.215088,1.211914,-18.748091,15.419847,18.427481
0.099609,-0.264160,1.230713,-27.511450,16.335878,14.931297
0.077881,-0.358643,1.208740,-34.870228,17.969465,10.137404
0.037598,-0.516846,1.232666,-38.656490,13.343512,8.030535
-0.010986,-0.752930,1.270508,-35.374046,8.045801,4.351145
-0.044922,-1.017578,1.280029,-25.786259,1.038168,-7.587786
-0.132812,-1.286133,1.311768,-11.664123,-8.106871,-19.557251
-0.156250,-1.503662,1.324707,13.816793,-15.297709,-42.656490
-0.189941,-1.607422,1.294434,36.030533,-19.908398,-69.251907
-0.283203,-1.605469,1.251221,54.412212,-19.496183,-104.870232
-0.389160,-1.510010,1.132080,60.305344,-6.351145,-155.893127
-0.595703,-1.434814,0.986816,49.923664,5.847328,-205.099243
-0.683105,-1.456055,1.156494,33.740459,17.801527,-276.183197
-0.815674,-1.600098,1.148193,20.809160,35.358780,-347.770996
-0.937988,-1.634033,1.134521,28.961832,49.236641,-404.229004
-1.086670,-1.490723,1.113037,41.419846,58.000000,-446.198486
-1.256104,-1.312012,1.025146,73.816795,49.893131,-468.412201
-1.462402,-1.158691,0.872314,116.305344,45.694656,-500.274811
-1.608887,-0.882324,0.806641,156.824432,26.137405,-500.274811
-1.811768,-0.550049,0.753906,195.160309,8.977099,-500.274811
-2.017822,-0.086426,0.753906,225.068695,-3.374046,-500.274811
-2.010498,0.389893,0.769043,233.389313,-16.167938,-500.274811
-1.864502,0.697266,0.646973,241.282440,-28.320610,-500.274811
-1.652344,0.806641,0.471924,254.274811,-55.038166,-500.274811
-1.466553,0.874512,0.288574,264.519073,-66.015266,-491.206116
-1.231445,0.960693,0.090332,270.641235,-73.435112,-441.648865
-1.074219,0.995117,0.007568,273.206116,-65.511452,-387.984741
