ax,ay,az,gx,gy,gz
0.174561,-0.500977,0.853760,-11.969465,-50.076336,-32.366413
0.196533,-0.601807,0.920898,-16.488550,-60.839695,-43.190838
0.205566,-0.623291,0.989258,-14.687023,-85.175575,-65.419846
0.154297,-0.583252,0.938477,-15.053435,-105.480919,-83.465652
0.214111,-0.606689,0.893311,-24.274809,-126.809158,-99.251907
0.265381,-0.661865,0.949219,-30.717558,-148.305344,-119.496185
0.251709,-0.602051,0.906738,-33.557251,-175.083969,-137.587784
0.216309,-0.606201,0.837158,-30.412214,-182.763351,-142.351151
0.144531,-0.585693,0.840088,-28.381680,-194.717560,-137.267181
0.115723,-0.576172,0.897461,-33.709923,-222.381683,-136.305344
0.347656,-0.643799,0.961914,-16.213741,-229.847336,-139.083969
0.398438,-0.623291,0.882568,-9.282443,-252.748093,-155.893127
0.449707,-0.583984,0.764404,-18.076336,-290.732819,-179.664124
0.502197,-0.465820,0.606201,-27.435114,-327.145050,-207.160309
0.522461,-0.453125,0.526611,-25.618320,-345.557251,-222.977097
0.568604,-0.378174,0.484375,-11.862596,-355.603058,-227.053436
0.723877,-0.359131,0.441895,-13.175572,-337.175568,-225.145035
0.849121,-0.365479,0.387939,-7.022901,-312.473297,-225.297714
0.839600,-0.294922,0.337891,-1.511450,-281.755737,-222.152664
0.782715,-0.245117,0.373291,5.984733,-263.297699,-219.496185
0.875000,-0.213623,0.188721,22.793894,-217.770996,-200.580154
0.657471,-0.055664,0.156738,6.580153,-258.854950,-212.732819
0.533936,0.074463,0.196533,-15.694656,-296.595428,-222.717560
0.614258,0.102783,0.243164,-25.038168,-335.160309,-230.763351
0.739746,0.067383,0.169434,-29.251909,-341.114502,-232.274811
0.979248,-0.032715,0.143555,-31.328245,-324.870239,-228.519089
1.036621,-0.011719,0.165283,-28.229008,-298.503815,-232.519089
0.802979,0.023926,0.222900,-18.274809,-289.343506,-227.908401
0.816162,0.010742,0.071533,3.236641,-235.511444,-196.290070
0.824707,0.184814,-0.027100,1.969466,-239.511444,-183.190842
0.717529,0.234619,-0.102783,-6.961832,-230.366409,-168.732819
0.781250,0.275146,-0.133545,-9.465649,-242.030533,-165.007629
0.740479,0.377686,-0.040771,-36.335876,-264.076324,-171.862595
0.809326,0.313477,-0.225830,-44.748093,-294.458008,-188.763351
0.664062,0.299805,-0.129883,-61.114502,-357.435120,-218.839691
0.551025,0.366699,-0.174561,-78.061066,-415.709930,-240.503815
0.648193,0.364502,-0.379883,-71.053436,-406.671753,-224.656494
0.227783,0.469482,-0.273193,-57.343510,-422.824432,-220.580154
0.824463,0.426514,-0.574219,-53.587788,-368.396942,-190.732819
0.882080,0.320312,-0.547607,-14.519084,-340.854950,-191.770996
0.922119,0.423096,-0.790039,5.511450,-315.282440,-195.709930
0.747070,0.567627,-0.895508,-1.541985,-302.000000,-202.198471
0.525146,0.630859,-0.843262,-3.557252,-297.465637,-196.870224
0.395264,0.708252,-0.895020,-0.732824,-272.778625,-164.824432
0.961182,0.671143,-0.994385,19.679390,-184.625961,-106.061066
0.503418,0.614502,-0.934326,28.473282,-176.763351,-84.122139
0.544434,0.613770,-0.963379,31.206106,-131.114502,-58.702290
