ax,ay,az,gx,gy,gz
-0.669189,-0.167725,0.647461,19.251909,-14.061069,29.465649
-0.668213,-0.156250,0.654785,20.412214,-13.251908,30.793894
-0.687500,-0.144043,0.646729,19.480917,-10.961832,29.923664
-0.691162,-0.136963,0.659180,15.480916,-7.496183,27.267176
-0.705566,-0.148926,0.651123,8.854961,-1.923664,22.091602
-0.707520,-0.128418,0.677734,3.038168,2.961832,15.923664
-0.696045,-0.130615,0.669434,-1.938931,6.992366,13.832061
-0.685059,-0.129883,0.664795,-3.312977,9.358779,14.595420
-0.670410,-0.143066,0.638184,-1.175573,11.328244,16.641222
-0.651611,-0.140137,0.605957,3.480916,16.137405,18.748091
-0.693848,-0.117676,0.639404,3.603053,21.740458,21.648855
-0.783691,-0.142334,0.743408,-0.320611,24.992367,18.167938
-0.850830,-0.147705,0.791992,-9.343512,28.244274,7.496183
-0.921387,-0.187012,0.853516,-23.694656,32.671757,-4.778626
-0.980957,-0.214600,0.880859,-36.167938,38.259541,-22.183207
-1.069580,-0.243408,0.926270,-50.259541,42.076336,-34.916031
-1.157715,-0.323730,0.994873,-56.549618,42.183205,-42.656490
-1.304688,-0.439697,1.111084,-50.335876,33.832062,-44.839695
-1.432861,-0.496094,1.187744,-33.343510,16.839695,-40.137405
-1.536377,-0.501953,1.305420,-10.091603,-8.763359,-32.549618
-1.619385,-0.452881,1.354736,10.015267,-36.366413,-25.358778
-1.663818,-0.372314,1.384277,22.091602,-61.374046,-18.442749
-1.684082,-0.335205,1.354492,22.717558,-81.236641,-18.717558
-1.697754,-0.342041,1.335938,21.557251,-99.923668,-20.534351
-1.735840,-0.362061,1.309082,17.114504,-116.870232,-26.839695
-1.700439,-0.410400,1.262451,16.198473,-133.053436,-34.687023
-1.734375,-0.444092,1.222656,14.656488,-146.259537,-45.129772
-1.780029,-0.457275,1.221924,14.839695,-160.015274,-53.633587
-1.835938,-0.485596,1.184814,15.984733,-178.213745,-60.305344
-1.882324,-0.469238,1.174805,20.000000,-197.557251,-57.862595
-1.906982,-0.484863,1.200439,24.503817,-223.450378,-54.381680
-1.842285,-0.445312,1.176270,30.702290,-255.022903,-48.381680
-1.681885,-0.411865,1.041504,41.740459,-288.061066,-40.229008
-1.488037,-0.325928,0.763672,58.519085,-315.114502,-27.832062
-1.341309,-0.227051,0.655029,70.366409,-331.801514,-13.129771
-1.249268,-0.220215,0.613281,74.427483,-348.198486,-3.007634
-1.142090,-0.221191,0.482422,79.022903,-365.541992,2.030534
-1.012695,-0.180176,0.335449,85.206108,-373.633575,6.076336
-0.870605,-0.123047,0.281982,87.938934,-377.786255,10.778625
-0.719727,-0.065918,0.204834,89.404579,-379.496185,15.190840
-0.532227,-0.007324,0.127441,88.870232,-378.030548,21.938931
-0.258057,0.048584,-0.065186,87.404579,-369.267181,30.091602
-0.006104,0.107422,-0.167480,85.068703,-351.572510,36.381680
0.199463,0.153076,-0.236572,73.954201,-328.854950,41.374046
0.385010,0.215820,-0.258301,52.076336,-299.236633,40.610687
0.499268,0.159424,-0.298096,27.984734,-265.175568,35.877861
0.594971,0.113770,-0.253662,1.877863,-227.572525,20.213741
0.675781,0.055176,-0.225098,-23.877863,-191.938934,-1.389313
0.805420,-0.006836,-0.255127,-45.053436,-158.106873,-21.358778
0.931396,-0.083984,-0.279053,-54.625954,-126.519081,-37.603054
1.078613,-0.114746,-0.343506,-51.328243,-95.282440,-47.770992
1.183105,-0.065186,-0.329346,-43.832062,-65.862595,-48.610687
1.213379,-0.014160,-0.282715,-36.503819,-38.580154,-43.175571
1.192627,0.060303,-0.161865,-32.167938,-14.641221,-33.312977
1.159424,0.068604,-0.083252,-29.099237,3.251908,-16.900763
1.109619,0.036621,-0.030762,-22.412214,17.877863,-0.351145
1.071533,-0.011475,0.004395,-12.503817,28.290077,16.229008
1.042969,-0.065430,0.011719,-1.816794,38.458015,31.755726
0.981445,-0.124268,0.025391,11.847328,50.778625,42.320610
0.921143,-0.144287,0.036377,23.190840,69.725189,43.526718
0.826904,-0.124512,0.100098,25.068703,93.114502,40.793892
0.732666,-0.131348,0.145020,25.083969,122.671753,30.229008
0.595459,-0.112549,0.295166,21.389313,147.969467,19.038168
0.430176,-0.060059,0.464844,12.564885,164.946564,6.320611
0.324707,0.017334,0.574707,-2.274809,173.694656,-1.511450
0.312256,0.029297,0.559814,-10.595420,174.702286,-0.015267
0.341553,0.027832,0.465576,-9.022901,174.595413,8.030535
0.321533,0.012695,0.328613,0.793893,187.053436,17.175573
0.192383,0.031738,0.404053,7.862596,205.709930,24.748091
-0.057861,0.016113,0.657471,0.259542,223.679382,22.427481
-0.144531,-0.045166,0.729248,-6.473282,224.000000,13.603053
-0.279053,-0.008301,0.772949,-13.679389,232.549622,7.129771
-0.437988,-0.083252,0.951172,-29.725191,237.801529,-4.809160
-0.474609,-0.093262,0.931641,-31.877863,231.541992,-14.183207
-0.458984,-0.056885,0.958252,-33.435116,222.977097,-10.000000
-0.441406,-0.088623,0.959473,-32.793892,213.175568,-5.450382
-0.398193,-0.067871,0.854980,-22.290077,203.328247,2.106870
-0.433105,-0.039551,0.761719,-11.877863,204.396942,10.534351
-0.555420,-0.006836,0.840088,-9.175572,211.221375,17.938931
-0.736084,0.016357,0.974121,-19.129770,219.923660,17.312977
-0.912598,-0.039062,1.182373,-35.129772,217.099243,12.702291
-0.967773,-0.171875,1.281006,-44.732826,198.549622,6.366412
-0.868408,-0.243896,1.222900,-38.305344,170.702286,6.488550
-0.690674,-0.265625,1.043701,-19.129770,143.297714,18.091602
-0.529297,-0.235107,0.829834,12.061069,128.763351,33.343510
-0.505127,-0.113525,0.614990,37.709923,135.740463,47.267174
-0.698730,-0.006836,0.696777,41.282444,157.404587,47.511452
-0.985107,0.099609,0.956543,8.809160,183.969467,26.931297
-1.251465,0.088135,1.247559,-42.549618,198.931305,-2.320611
-1.368896,-0.114990,1.388672,-88.045799,192.076340,-28.091602
-1.331543,-0.309082,1.365479,-107.282440,170.549622,-47.984734
-1.179443,-0.405029,1.227051,-100.473282,143.679382,-49.633587
-1.042725,-0.412109,1.076172,-75.908394,120.473282,-38.076336
-0.951660,-0.321533,0.998291,-40.351147,100.580154,-11.618320
-0.949219,-0.229004,0.970703,-6.442748,81.679390,20.396946
-1.000000,-0.122559,0.976318,15.664123,70.351143,44.351147
-1.117920,-0.091309,1.084961,17.709923,63.832062,54.213741
-1.101318,-0.010010,1.131348,1.007634,55.450382,48.106869
-1.159912,-0.202881,1.128174,-28.931297,60.213741,30.122137
-1.081787,-0.385010,1.029785,-35.160305,53.068703,14.366412
