ax,ay,az,gx,gy,gz
0.989990,-0.017578,0.120850,-15.526717,-1.801527,-6.351145
0.982178,0.002441,0.105957,-16.381680,-1.160305,-5.282443
0.980713,0.010254,0.116699,-18.488550,-0.290076,-3.755725
0.970703,0.042480,0.097900,-21.068703,-0.381679,-1.908397
0.952881,0.062500,0.090332,-24.290077,0.106870,0.320611
0.957275,0.068115,0.096680,-27.862595,-1.938931,2.183206
0.954102,0.053955,0.122803,-28.030535,-2.625954,5.068702
0.976318,0.012939,0.108643,-28.870230,-2.015267,8.473283
0.994873,-0.029297,0.142822,-30.763359,-0.641221,8.656488
1.004883,-0.086182,0.192627,-34.198475,-3.496183,5.633588
0.977051,-0.144531,0.247559,-37.221375,-10.000000,0.717557
1.045654,-0.240723,0.303955,-42.778625,-15.969465,-3.923664
1.116455,-0.401611,0.397461,-44.259541,-19.633587,-13.587787
1.201172,-0.595215,0.512695,-43.923664,-25.282442,-25.374046
1.362305,-0.857178,0.676025,-28.229008,-18.702290,-38.458015
1.364258,-0.995850,0.831787,2.351145,-3.496183,-44.061069
1.354248,-1.014160,0.822021,28.244274,14.030535,-40.305344
1.170898,-0.962646,0.758301,41.526718,-4.183206,-32.290077
1.338623,-1.146729,0.777832,72.458015,41.770992,-19.358778
1.178955,-1.204834,0.861572,103.160309,35.389313,-12.274809
1.370850,-1.280029,0.777832,115.389313,21.984734,-13.633588
1.555664,-1.436768,0.843262,122.824425,-6.335878,-30.305344
1.750000,-1.663330,0.827148,156.564880,23.206106,-43.496181
1.690674,-1.752686,1.006836,184.519089,21.557251,-60.671757
1.680420,-1.780029,0.825439,220.992371,16.870230,-75.160309
1.626221,-1.816162,0.726318,248.396942,14.961832,-88.412216
1.612305,-1.915771,0.679932,281.877869,17.969465,-104.717560
1.610840,-2.115723,0.640137,325.954193,26.366413,-121.923668
1.557129,-2.196533,0.514160,359.923676,32.259541,-146.381683
1.318848,-2.069824,0.237793,390.870239,25.251909,-168.580154
1.141357,-1.868652,-0.126221,406.198486,15.450381,-185.068695
1.043457,-1.877197,-0.289795,422.854950,6.030534,-197.267181
0.996338,-2.067871,-0.405518,459.969452,16.961832,-204.458008
1.133545,-2.201416,-0.642090,487.007629,36.213741,-219.450378
1.031006,-2.291504,-0.767334,500.259552,46.702290,-239.725189
0.865723,-2.127441,-1.161377,500.259552,57.435116,-254.061066
0.692627,-1.933838,-1.485107,500.259552,75.374046,-264.152679
0.285400,-1.685791,-1.647217,500.259552,52.503819,-264.748077
0.321533,-1.726318,-1.816162,500.259552,51.236641,-279.832062
0.191162,-1.703613,-1.941895,500.259552,33.984734,-306.564880
-0.008545,-1.396484,-2.119873,500.259552,23.221375,-317.404572
-0.227539,-1.144287,-2.451904,500.259552,25.648855,-296.259552
0.005127,-1.262207,-2.486084,500.259552,84.473282,-271.816803
0.104736,-1.139893,-2.774414,500.259552,123.587784,-258.137390
-0.324951,-0.194092,-3.298828,500.259552,117.572517,-236.793900
-0.430176,0.776123,-3.995605,458.702301,115.022903,-213.282440
-0.594482,1.323730,-4.000000,345.312988,113.053436,-181.786255
-0.739746,1.359131,-4.000000,229.816788,114.366409,-137.725189
-0.704590,1.072754,-3.564941,137.129776,80.595421,-107.633591
-0.574463,0.854492,-3.186768,84.122139,55.862595,-81.801529
-0.389160,0.768066,-2.968994,50.977100,41.038166,-59.984734
-0.161865,0.779053,-2.864990,12.656488,34.702290,-43.312977
0.029541,0.826416,-2.691406,-4.076336,61.664124,-24.061069
0.092773,0.769287,-2.458496,-31.725191,76.763359,-10.198473
0.145020,0.697510,-2.119629,-56.442749,83.893127,-3.709924
0.201660,0.645508,-1.923096,-70.625954,96.610687,3.908397
0.231934,0.598633,-1.556641,-79.328247,95.969467,4.946565
0.154785,0.648682,-1.391602,-82.503815,80.763359,5.160306
0.044189,0.706787,-1.249756,-88.366409,59.938931,7.251908
-0.006348,0.707275,-1.159668,-91.954201,35.282444,10.977099
0.020996,0.644775,-1.027832,-92.809158,15.251908,13.190840
0.095459,0.657471,-0.929199,-88.106873,-4.503817,15.832061
0.250244,0.756104,-0.964600,-87.603050,-14.366412,20.870230
0.368408,0.858887,-0.973389,-91.053436,-13.526717,25.343512
0.495117,0.877686,-0.953857,-95.877861,-8.427481,28.549618
0.581543,0.851074,-0.935547,-102.259544,-0.320611,30.198473
0.547852,0.883545,-0.977539,-109.694656,10.091603,31.541985
0.437012,0.928955,-0.983643,-118.534348,15.511451,36.381680
0.418945,0.868652,-0.935547,-124.229004,20.839695,42.229008
0.388916,0.772217,-0.852295,-127.847328,12.412213,42.748093
0.322266,0.760498,-0.833740,-132.259537,1.908397,43.618320
0.236328,0.795654,-0.881592,-139.786255,-13.175572,49.145039
0.218018,0.859619,-0.960938,-151.572525,-28.702290,59.267174
0.270508,0.941162,-1.075928,-171.725189,-38.793892,70.961830
0.356689,0.995850,-1.061279,-191.832062,-44.229008,88.106873
0.478760,0.960693,-1.027588,-214.885498,-41.938931,105.160309
0.614014,0.763428,-0.919678,-238.137405,-42.183205,115.526718
0.720215,0.592041,-0.791748,-256.793884,-38.931297,117.648857
0.640625,0.443115,-0.714355,-269.175568,-45.557251,115.908394
0.892090,0.304443,-0.624756,-276.274811,-28.488550,120.152672
0.847168,0.107422,-0.286133,-245.312973,-7.068702,119.725189
0.990479,-0.079346,-0.095459,-225.938934,-0.137405,111.175575
1.094482,-0.072266,-0.147461,-214.183212,9.938931,89.557251
0.827637,-0.026855,-0.040771,-202.992371,-0.381679,73.786263
0.940918,0.144775,-0.169922,-189.801529,5.816794,61.816795
0.716309,0.426270,-0.233154,-188.290070,-8.580153,56.916031
0.719482,0.610352,-0.290039,-198.061066,-17.816793,68.167938
0.771484,0.602539,-0.312256,-211.358780,-13.557252,80.106873
0.766113,0.489258,-0.192627,-229.068695,-16.916031,91.435112
0.917969,0.264160,-0.160156,-241.435120,-13.114504,95.786263
0.963379,-0.078613,0.133057,-242.656494,-7.541985,83.572517
1.144287,-0.384766,0.346436,-229.007629,-35.404579,61.801525
1.216064,-0.554199,0.591064,-184.198471,-15.618320,33.435116
1.152344,-0.447266,0.744629,-131.496185,-3.694656,14.839695
0.922607,-0.092285,0.465576,-82.931297,15.847328,14.992367
0.825439,0.354736,0.109131,-73.114502,25.068703,25.816793
0.800781,0.539551,0.014893,-82.931297,42.564884,38.854961
0.732178,0.537109,0.070557,-92.671753,20.442749,39.038166
0.763184,0.417236,0.174561,-102.137405,6.137404,38.564884
0.828857,0.232910,0.335693,-108.671753,-11.801527,33.786259
